QPS:100 time:1715792143.562602, tps:22.578377641300403, latency:81.6623412484328
QPS:100 time:1715792278.5099573, tps:22.231204047180928, latency:83.78741022380193
QPS:100 time:1715792405.369877, tps:23.648641169044538, latency:76.39085522103309
QPS:200 time:1715792524.5181715, tps:25.179320216353247, latency:77.86236535271009
QPS:200 time:1715792641.107887, tps:25.731825715782016, latency:77.206553251187
QPS:200 time:1715792759.720311, tps:25.292899320119176, latency:78.02348220777512
QPS:300 time:1715792872.7139387, tps:26.550737384419, latency:75.39523532398542
QPS:300 time:1715792982.9261613, tps:27.220866000818383, latency:68.80895910747846
QPS:300 time:1715793095.083862, tps:26.748653020098484, latency:76.48477372384072
QPS:400 time:1715793206.030671, tps:27.04065144137759, latency:73.84281885584195
QPS:400 time:1715793320.5496807, tps:26.197242934403953, latency:75.08501450419426
QPS:400 time:1715793431.187413, tps:27.116229177308885, latency:73.75053680284817
QPS:500 time:1715793537.9501626, tps:28.10055541092652, latency:70.005932665507
QPS:500 time:1715793646.4489746, tps:27.650562253932613, latency:74.59370021963119
QPS:500 time:1715793752.2372842, tps:28.359248356338714, latency:74.91332294209798
QPS:600 time:1715793860.3317413, tps:27.754300651933075, latency:72.30492781567574
QPS:600 time:1715793968.6356697, tps:27.700492528020014, latency:73.01097809235254
QPS:600 time:1715794078.0128663, tps:27.428676479196984, latency:72.7977506325245
QPS:700 time:1715794189.7147791, tps:26.857826801771395, latency:73.82460464715957
QPS:700 time:1715794303.5525494, tps:26.353968089412923, latency:73.40416887585322
QPS:700 time:1715794411.169841, tps:27.87720389303987, latency:75.05843188937506
QPS:800 time:1715794520.5698824, tps:27.422765777897684, latency:72.586760100921
QPS:800 time:1715794629.4322295, tps:27.558457250435403, latency:74.14841470011075
QPS:800 time:1715794735.3610752, tps:28.32146979638285, latency:72.64921175479888
QPS:900 time:1715794841.2582686, tps:28.33005192052483, latency:74.20193255623181
QPS:900 time:1715794949.0305912, tps:27.837023338026274, latency:72.19742982427279
QPS:900 time:1715795060.2112958, tps:26.983593877340915, latency:75.29686676303545
QPS:1000 time:1715795159.778343, tps:30.131379167744797, latency:71.11122388458251
QPS:1000 time:1715795265.5005493, tps:28.376901315017086, latency:71.74929865320523
QPS:1000 time:1715795371.8225954, tps:28.216955700042966, latency:70.64466478514672
