QPS:100 time:1715658058.9208455, tps:22.13802640677726, latency:101.58503909158706
QPS:100 time:1715658197.692171, tps:21.619224990499276, latency:100.34212910747529
QPS:200 time:1715658314.8656042, tps:25.604993578032232, latency:83.6255967315038
QPS:200 time:1715658427.8358252, tps:26.557250227504763, latency:82.08046508717537
QPS:300 time:1715658538.9247777, tps:27.006656877337914, latency:77.10267571560541
QPS:300 time:1715658654.837769, tps:25.882606765789934, latency:79.24319447191556
QPS:400 time:1715658762.9458685, tps:27.751513735682753, latency:76.96386851763725
QPS:400 time:1715658874.4538834, tps:26.9056714410936, latency:77.93088735262553
QPS:500 time:1715658979.1273952, tps:28.661947540314934, latency:75.0430213798682
QPS:500 time:1715659086.6445665, tps:27.904126162961045, latency:75.14622745760282
QPS:600 time:1715659191.3932076, tps:28.6412755192067, latency:74.18565578571955
QPS:600 time:1715659297.5043333, tps:28.27334490724796, latency:74.78130276846886
QPS:700 time:1715659406.847627, tps:27.437718810141995, latency:75.38955496780078
QPS:700 time:1715659517.480668, tps:27.117796218204525, latency:77.35333009163539
QPS:800 time:1715659629.4837017, tps:26.786050763482613, latency:75.47108745304743
QPS:800 time:1715659740.613858, tps:26.996745493073366, latency:76.25267227745056
QPS:900 time:1715659842.029588, tps:29.583098416074616, latency:72.90582162737846
QPS:900 time:1715659953.6891117, tps:26.868884319269878, latency:75.27656423250833
QPS:1000 time:1715660064.8104408, tps:26.99900544134719, latency:73.50221627171834
QPS:1000 time:1715660174.654221, tps:27.313071249945093, latency:76.94773200368881
