QPS:100 time:1715671232839  tps:86.595081  tpsNoError:86.595081 latency:1174.794545
QPS:100 time:1715671246597  tps:72.806698  tpsNoError:72.806698 latency:1404.564545
QPS:100 time:1715671259078  tps:80.314834  tpsNoError:80.314834 latency:1297.007273
QPS:100 time:1715671272884  tps:72.674419  tpsNoError:72.674419 latency:1445.016364
QPS:100 time:1715671286312  tps:74.604596  tpsNoError:74.604596 latency:1403.689091
QPS:200 time:1715671306524  tps:99.157164  tpsNoError:99.157164 latency:1092.080909
QPS:200 time:1715671322196  tps:128.000000  tpsNoError:128.000000 latency:831.637273
QPS:200 time:1715671336875  tps:136.621354  tpsNoError:136.621354 latency:767.406364
QPS:200 time:1715671358386  tps:93.066543  tpsNoError:93.066543 latency:1169.087273
QPS:200 time:1715671381907  tps:85.175248  tpsNoError:85.175248 latency:1290.862727
QPS:300 time:1715671428834  tps:63.963157  tpsNoError:63.963157 latency:1602.618485
QPS:300 time:1715671455906  tps:110.971369  tpsNoError:110.971369 latency:935.567879
QPS:300 time:1715671481431  tps:117.623995  tpsNoError:117.623995 latency:914.339697
QPS:300 time:1715671512918  tps:95.431989  tpsNoError:95.431989 latency:1124.413939
QPS:300 time:1715671548817  tps:83.658673  tpsNoError:83.658673 latency:1318.736364
QPS:400 time:1715671592484  tps:91.640129  tpsNoError:91.640129 latency:1185.972727
QPS:400 time:1715671627447  tps:114.521301  tpsNoError:114.521301 latency:945.357727
QPS:400 time:1715671662027  tps:115.774240  tpsNoError:115.774240 latency:919.328864
QPS:400 time:1715671692072  tps:133.244504  tpsNoError:133.244504 latency:818.393409
QPS:400 time:1715671728655  tps:109.409190  tpsNoError:109.409190 latency:989.870227
QPS:500 time:1715671789442  tps:82.286918  tpsNoError:82.286918 latency:1324.879818
QPS:500 time:1715671856617  tps:74.461273  tpsNoError:74.461273 latency:1364.574364
QPS:500 time:1715671913709  tps:87.636274  tpsNoError:87.636274 latency:1259.771636
QPS:500 time:1715671952555  tps:128.852696  tpsNoError:128.852696 latency:825.074909
QPS:500 time:1715672011042  tps:85.538809  tpsNoError:85.538809 latency:1256.294364
QPS:600 time:1715672076908  tps:91.123092  tpsNoError:91.123092 latency:1181.454091
QPS:600 time:1715672133279  tps:106.481153  tpsNoError:106.481153 latency:981.131212
QPS:600 time:1715672207075  tps:81.330568  tpsNoError:81.330568 latency:1337.944394
QPS:600 time:1715672273204  tps:90.768812  tpsNoError:90.768812 latency:1110.061515
QPS:600 time:1715672350259  tps:77.890719  tpsNoError:77.890719 latency:1393.608333
QPS:700 time:1715672416278  tps:106.083109  tpsNoError:106.083109 latency:1026.107532
QPS:700 time:1715672504388  tps:79.463282  tpsNoError:79.463282 latency:1353.655325
QPS:700 time:1715672568356  tps:109.486197  tpsNoError:109.486197 latency:986.888182
QPS:700 time:1715672646034  tps:90.164357  tpsNoError:90.164357 latency:1199.608312
QPS:700 time:1715672724275  tps:89.487747  tpsNoError:89.487747 latency:1222.107403
QPS:800 time:1715672811746  tps:91.481892  tpsNoError:91.481892 latency:1158.820682
QPS:800 time:1715672892731  tps:98.811788  tpsNoError:98.811788 latency:1097.666705
QPS:800 time:1715672981085  tps:90.565354  tpsNoError:90.565354 latency:1214.074659
QPS:800 time:1715673066941  tps:93.233573  tpsNoError:93.233573 latency:1156.712841
QPS:800 time:1715673170480  tps:77.293192  tpsNoError:77.293192 latency:1392.102841
QPS:900 time:1715673293561  tps:73.138028  tpsNoError:73.138028 latency:1506.780808
QPS:900 time:1715673404095  tps:81.436909  tpsNoError:81.436909 latency:1336.378081
QPS:900 time:1715673501715  tps:92.227289  tpsNoError:92.227289 latency:1197.953636
QPS:900 time:1715673622770  tps:74.363572  tpsNoError:74.363572 latency:1454.421111
QPS:900 time:1715673731674  tps:82.665124  tpsNoError:82.665124 latency:1298.293737
QPS:1000 time:1715673865648  tps:74.678137  tpsNoError:74.678137 latency:1482.458727
QPS:1000 time:1715674018967  tps:65.235402  tpsNoError:65.235402 latency:1678.863818
QPS:1000 time:1715674155547  tps:73.241830  tpsNoError:73.241830 latency:1457.508182
QPS:1000 time:1715674275539  tps:83.359036  tpsNoError:83.359036 latency:1269.288909
QPS:1000 time:1715674418534  tps:69.955019  tpsNoError:69.955019 latency:1594.869545
