QPS:100 time:1715664371572  tps:36.589828  tpsNoError:29.604497 latency:3077.174545
QPS:100 time:1715664414690  tps:75.961605  tpsNoError:55.728196 latency:1377.777273
QPS:100 time:1715664469422  tps:42.690263  tpsNoError:34.734350 latency:2689.217273
QPS:100 time:1715664523647  tps:51.495716  tpsNoError:39.464445 latency:2284.367273
QPS:100 time:1715664566649  tps:78.717618  tpsNoError:56.390439 latency:1285.023636
QPS:200 time:1715664674703  tps:35.242855  tpsNoError:26.816609 latency:3467.092273
QPS:200 time:1715664749825  tps:46.835416  tpsNoError:35.935537 latency:2535.953182
QPS:200 time:1715664816816  tps:61.262566  tpsNoError:46.253237 latency:1910.233636
QPS:200 time:1715664884552  tps:51.667450  tpsNoError:40.864256 latency:2274.049091
QPS:200 time:1715664950429  tps:60.010911  tpsNoError:46.426623 latency:2004.991818
QPS:300 time:1715665039978  tps:50.225253  tpsNoError:38.582126 latency:2379.524242
QPS:300 time:1715665167046  tps:38.492494  tpsNoError:30.514050 latency:3078.450909
QPS:300 time:1715665260005  tps:49.767000  tpsNoError:37.626868 latency:2340.446667
QPS:300 time:1715665344519  tps:67.785469  tpsNoError:40.630199 latency:1723.253030
QPS:300 time:1715665449057  tps:43.915682  tpsNoError:35.292239 latency:2776.154242
QPS:400 time:1715665562661  tps:51.273685  tpsNoError:39.597269 latency:2290.592045
QPS:400 time:1715665676223  tps:58.754407  tpsNoError:44.800235 latency:2028.676364
QPS:400 time:1715665795126  tps:48.839507  tpsNoError:38.139215 latency:2476.716818
QPS:400 time:1715665899003  tps:56.154681  tpsNoError:42.754132 latency:2154.212273
QPS:400 time:1715665984017  tps:77.900924  tpsNoError:56.743741 latency:1473.672273
QPS:500 time:1715666132003  tps:46.840003  tpsNoError:35.939057 latency:2610.103818
QPS:500 time:1715666257533  tps:55.026963  tpsNoError:43.231183 latency:2178.392182
QPS:500 time:1715666377619  tps:60.291812  tpsNoError:45.854664 latency:1975.725091
QPS:500 time:1715666477515  tps:79.374242  tpsNoError:58.881256 latency:1519.575455
QPS:500 time:1715666614401  tps:56.762475  tpsNoError:44.305692 latency:2160.176364
QPS:600 time:1715666764800  tps:52.500119  tpsNoError:41.403503 latency:2307.428636
QPS:600 time:1715666913305  tps:53.393306  tpsNoError:41.379812 latency:2264.268485
QPS:600 time:1715667066574  tps:53.521903  tpsNoError:39.281833 latency:2264.032576
QPS:600 time:1715667216632  tps:57.428758  tpsNoError:42.323254 latency:2105.840303
QPS:600 time:1715667351949  tps:59.985822  tpsNoError:46.752586 latency:2005.305909
QPS:700 time:1715667518016  tps:57.962723  tpsNoError:43.479570 latency:2068.820130
QPS:700 time:1715667698098  tps:52.975941  tpsNoError:40.055315 latency:2262.878442
QPS:700 time:1715667871091  tps:55.992263  tpsNoError:42.394142 latency:2145.618831
QPS:700 time:1715668072942  tps:45.368843  tpsNoError:33.466887 latency:2692.886494
QPS:700 time:1715668224806  tps:66.918698  tpsNoError:49.693651 latency:1809.238571
QPS:800 time:1715668410215  tps:57.479898  tpsNoError:44.422817 latency:2103.098295
QPS:800 time:1715668645513  tps:43.262164  tpsNoError:32.884161 latency:2798.302955
QPS:800 time:1715668836480  tps:56.676199  tpsNoError:41.882423 latency:2119.430909
QPS:800 time:1715668997883  tps:67.798699  tpsNoError:50.656415 latency:1754.791136
QPS:800 time:1715669157491  tps:71.169197  tpsNoError:52.139524 latency:1656.338409
QPS:900 time:1715669327222  tps:71.663313  tpsNoError:53.725768 latency:1639.627475
QPS:900 time:1715669537476  tps:54.023672  tpsNoError:40.932481 latency:2248.169192
QPS:900 time:1715669745410  tps:55.499807  tpsNoError:42.269550 latency:2136.152121
QPS:900 time:1715669944308  tps:59.197072  tpsNoError:44.744615 latency:2017.771717
QPS:900 time:1715670191902  tps:47.139266  tpsNoError:36.430558 latency:2533.385758
QPS:1000 time:1715670437767  tps:52.028644  tpsNoError:39.447172 latency:2341.155727
QPS:1000 time:1715670635579  tps:65.474242  tpsNoError:48.379513 latency:1845.159727
QPS:1000 time:1715670804572  tps:77.827619  tpsNoError:57.401407 latency:1516.093182
QPS:1000 time:1715670997926  tps:66.372616  tpsNoError:49.779462 latency:1700.083636
QPS:1000 time:1715671186953  tps:69.419026  tpsNoError:51.641444 latency:1719.442636
