QPS:1000 time:1715686357895  tps:919.963201  tpsNoError:919.963201 latency:521.105200
QPS:1000 time:1715686363197  tps:954.745083  tpsNoError:954.745083 latency:462.612600
QPS:1000 time:1715686368590  tps:938.086304  tpsNoError:938.086304 latency:500.070800
QPS:1000 time:1715686373964  tps:937.910336  tpsNoError:937.910336 latency:497.517400
QPS:1000 time:1715686379421  tps:925.754490  tpsNoError:925.754490 latency:516.775600
QPS:1000 time:1715686384735  tps:950.931913  tpsNoError:950.931913 latency:499.007600
QPS:1000 time:1715686390154  tps:928.332714  tpsNoError:928.332714 latency:496.329600
QPS:1000 time:1715686395576  tps:928.505107  tpsNoError:928.505107 latency:490.365000
QPS:1000 time:1715686400983  tps:930.232558  tpsNoError:930.232558 latency:504.660600
QPS:1000 time:1715686406382  tps:932.314003  tpsNoError:932.314003 latency:514.088000
QPS:2000 time:1715686409260  tps:1764.290755  tpsNoError:1764.290755 latency:611.558400
QPS:2000 time:1715686412377  tps:1623.376623  tpsNoError:1623.376623 latency:603.105600
QPS:2000 time:1715686415198  tps:1794.043775  tpsNoError:1794.043775 latency:643.595800
QPS:2000 time:1715686418348  tps:1602.564103  tpsNoError:1602.564103 latency:566.094000
QPS:2000 time:1715686421654  tps:1526.717557  tpsNoError:1526.717557 latency:530.943200
QPS:2000 time:1715686424453  tps:1810.282404  tpsNoError:1810.282404 latency:610.286400
QPS:2000 time:1715686427643  tps:1585.791310  tpsNoError:1585.791310 latency:594.109200
QPS:2000 time:1715686430829  tps:1586.294416  tpsNoError:1586.294416 latency:546.230800
QPS:2000 time:1715686433698  tps:1766.160367  tpsNoError:1766.160367 latency:599.726200
QPS:2000 time:1715686436883  tps:1586.797842  tpsNoError:1586.797842 latency:581.134200
QPS:3000 time:1715686439125  tps:2263.467632  tpsNoError:2263.467632 latency:651.868400
QPS:3000 time:1715686441401  tps:2228.163993  tpsNoError:2228.163993 latency:695.194600
QPS:3000 time:1715686443594  tps:2319.109462  tpsNoError:2319.109462 latency:716.404000
QPS:3000 time:1715686445903  tps:2226.179875  tpsNoError:2226.179875 latency:708.104800
QPS:3000 time:1715686448258  tps:2171.081198  tpsNoError:2171.081198 latency:727.505200
