QPS:100 time:1715734205552  tps:75.007501  tpsNoError:54.830483 latency:1461.011000
QPS:100 time:1715734232738  tps:77.429346  tpsNoError:63.104917 latency:1408.168000
QPS:100 time:1715734265691  tps:55.456965  tpsNoError:44.421029 latency:1834.144000
QPS:100 time:1715734294496  tps:75.176665  tpsNoError:61.870395 latency:1411.663000
QPS:100 time:1715734323026  tps:80.821143  tpsNoError:67.404833 latency:1126.404000
QPS:200 time:1715734359970  tps:88.413421  tpsNoError:72.499005 latency:1349.139500
QPS:200 time:1715734394646  tps:94.629761  tpsNoError:75.703809 latency:1204.070500
QPS:200 time:1715734433395  tps:78.675111  tpsNoError:64.316903 latency:1533.248000
QPS:200 time:1715734472372  tps:83.559641  tpsNoError:67.975768 latency:1418.166000
QPS:200 time:1715734507506  tps:90.884304  tpsNoError:72.389348 latency:1306.482500
QPS:300 time:1715734575614  tps:55.917987  tpsNoError:45.013979 latency:1973.995000
QPS:300 time:1715734642224  tps:60.300295  tpsNoError:38.632389 latency:1975.590667
QPS:300 time:1715734705068  tps:61.774154  tpsNoError:50.325344 latency:1898.942333
QPS:300 time:1715734782265  tps:49.816509  tpsNoError:39.986051 latency:2473.092333
QPS:300 time:1715734847752  tps:59.265113  tpsNoError:48.024496 latency:2051.826333
QPS:400 time:1715734918165  tps:72.081163  tpsNoError:57.502748 latency:1654.172500
QPS:400 time:1715735047676  tps:35.117600  tpsNoError:28.489153 latency:3476.384000
QPS:400 time:1715735106306  tps:88.615166  tpsNoError:71.401670 latency:1328.448000
QPS:400 time:1715735177250  tps:74.949877  tpsNoError:59.547677 latency:1585.968250
QPS:400 time:1715735235643  tps:91.372182  tpsNoError:72.503826 latency:1304.322250
QPS:500 time:1715735305957  tps:89.774666  tpsNoError:71.909507 latency:1321.656400
QPS:500 time:1715735374395  tps:92.353158  tpsNoError:73.771703 latency:1292.153400
QPS:500 time:1715735443854  tps:88.915761  tpsNoError:71.185958 latency:1348.449200
QPS:500 time:1715735525053  tps:76.367358  tpsNoError:61.154980 latency:1554.390400
QPS:500 time:1715735601481  tps:80.585372  tpsNoError:64.887342 latency:1463.244400
QPS:600 time:1715735689932  tps:82.189529  tpsNoError:65.395469 latency:1443.501833
QPS:600 time:1715735774134  tps:85.417764  tpsNoError:69.102971 latency:1383.702000
QPS:600 time:1715735857456  tps:87.286693  tpsNoError:63.093731 latency:1334.226333
QPS:600 time:1715735960408  tps:67.851812  tpsNoError:54.586782 latency:1756.327167
QPS:600 time:1715736051088  tps:78.105677  tpsNoError:62.705841 latency:1473.635333
QPS:700 time:1715736149323  tps:83.686010  tpsNoError:67.187911 latency:1418.286857
QPS:700 time:1715736252928  tps:78.626066  tpsNoError:62.979479 latency:1521.118429
QPS:700 time:1715736349129  tps:85.301358  tpsNoError:68.180156 latency:1380.574714
QPS:700 time:1715736476946  tps:61.715334  tpsNoError:49.513331 latency:1965.386857
QPS:700 time:1715736579605  tps:83.288714  tpsNoError:66.583378 latency:1407.122286
QPS:800 time:1715736686924  tps:86.601643  tpsNoError:69.151412 latency:1376.310875
QPS:800 time:1715736787373  tps:93.003790  tpsNoError:74.333279 latency:1273.845250
QPS:800 time:1715736928706  tps:63.164211  tpsNoError:50.973518 latency:1908.359875
QPS:800 time:1715737043519  tps:81.439857  tpsNoError:65.192605 latency:1431.553500
QPS:800 time:1715737158480  tps:80.261653  tpsNoError:64.389911 latency:1463.205000
QPS:900 time:1715737303570  tps:69.595880  tpsNoError:56.063348 latency:1560.387222
QPS:900 time:1715737447097  tps:70.271325  tpsNoError:57.044700 latency:1700.505000
QPS:900 time:1715737582502  tps:74.724764  tpsNoError:60.286279 latency:1603.165556
QPS:900 time:1715737715076  tps:76.000676  tpsNoError:60.834319 latency:1578.235889
QPS:900 time:1715737864960  tps:66.769046  tpsNoError:54.743199 latency:1793.797778
QPS:1000 time:1715738009528  tps:78.592873  tpsNoError:63.306559 latency:1497.145600
QPS:1000 time:1715738155388  tps:78.082908  tpsNoError:61.943171 latency:1519.386900
QPS:1000 time:1715738314481  tps:69.964808  tpsNoError:56.461600 latency:1713.853900
QPS:1000 time:1715738461649  tps:75.536688  tpsNoError:60.316046 latency:1583.267800
QPS:1000 time:1715738608872  tps:75.790878  tpsNoError:60.693335 latency:1573.960200
