QPS:100 time:1715661313.7759109, tps:23.337778342882107, latency:97.81515359274546
QPS:100 time:1715661448.7586036, tps:22.225741013383665, latency:98.49628673903148
QPS:200 time:1715661571.9349976, tps:24.356569807320263, latency:85.8534210093816
QPS:200 time:1715661697.6451335, tps:23.865602447192916, latency:86.66364035463333
QPS:300 time:1715661818.593461, tps:24.80498851106825, latency:84.30178720076879
QPS:300 time:1715661925.9905884, tps:27.93487632582308, latency:76.62207758951187
QPS:400 time:1715662046.0268354, tps:24.99352677430765, latency:80.76438057684898
QPS:400 time:1715662163.606115, tps:25.515756318860642, latency:78.88633886154493
QPS:500 time:1715662271.1048238, tps:27.908457127436076, latency:75.23332393550872
QPS:500 time:1715662370.9863627, tps:30.03666613867203, latency:72.99238428076109
QPS:600 time:1715662480.4424717, tps:27.409551045644438, latency:74.52257108004888
QPS:600 time:1715662587.7185578, tps:27.966547179352737, latency:75.56121319818497
QPS:700 time:1715662696.2237904, tps:27.64944866640149, latency:77.14188800096512
QPS:700 time:1715662802.9333518, tps:28.11475356779176, latency:74.67956017430623
QPS:800 time:1715662910.990022, tps:27.764317333128357, latency:73.73175137766202
QPS:800 time:1715663017.5076761, tps:28.165964964817828, latency:74.64744184962909
QPS:900 time:1715663121.5552804, tps:28.834486791527688, latency:69.78745381569863
QPS:900 time:1715663229.8881986, tps:27.693697934842756, latency:75.90394341611862
QPS:1000 time:1715663342.603712, tps:26.617063716230156, latency:79.09933982563018
QPS:1000 time:1715663455.7770295, tps:26.509336080211057, latency:82.91160032375653
