QPS:500 time:1715300328171  tps:490.869821  tpsNoError:490.869821 latency:323.244600
QPS:500 time:1715300338421  tps:490.244142  tpsNoError:490.244142 latency:322.349400
QPS:500 time:1715300348671  tps:489.380444  tpsNoError:489.380444 latency:325.651800
QPS:500 time:1715300358963  tps:487.662148  tpsNoError:487.662148 latency:331.640600
QPS:500 time:1715300369368  tps:482.253086  tpsNoError:482.253086 latency:336.730400
QPS:500 time:1715300379655  tps:487.852473  tpsNoError:487.852473 latency:337.359800
QPS:500 time:1715300390144  tps:478.240077  tpsNoError:478.240077 latency:356.197800
QPS:500 time:1715300400550  tps:482.299605  tpsNoError:482.299605 latency:350.382000
QPS:500 time:1715300410846  tps:487.900078  tpsNoError:487.900078 latency:339.075800
QPS:500 time:1715300421313  tps:479.018969  tpsNoError:479.018969 latency:368.311000
QPS:1000 time:1715300426599  tps:951.655881  tpsNoError:951.655881 latency:404.799600
QPS:1000 time:1715300431970  tps:936.504963  tpsNoError:936.504963 latency:433.415800
QPS:1000 time:1715300437232  tps:955.109838  tpsNoError:955.109838 latency:409.747200
QPS:1000 time:1715300442513  tps:953.288847  tpsNoError:953.288847 latency:403.463200
QPS:1000 time:1715300447729  tps:963.576797  tpsNoError:963.576797 latency:422.411600
QPS:1000 time:1715300453069  tps:941.265060  tpsNoError:941.265060 latency:423.605000
QPS:1000 time:1715300458269  tps:966.930961  tpsNoError:966.930961 latency:392.972200
QPS:1000 time:1715300463520  tps:957.304231  tpsNoError:957.304231 latency:396.060600
QPS:1000 time:1715300468771  tps:958.221541  tpsNoError:958.221541 latency:401.105800
QPS:1000 time:1715300474018  tps:957.487553  tpsNoError:957.487553 latency:394.507400
QPS:2000 time:1715300477168  tps:1604.621309  tpsNoError:1604.621309 latency:472.891200
QPS:2000 time:1715300479926  tps:1832.172957  tpsNoError:1832.172957 latency:500.573000
QPS:2000 time:1715300482986  tps:1647.989453  tpsNoError:1647.989453 latency:484.554000
QPS:2000 time:1715300485790  tps:1801.152738  tpsNoError:1801.152738 latency:523.891600
QPS:2000 time:1715300488552  tps:1832.172957  tpsNoError:1832.172957 latency:492.658000
QPS:2000 time:1715300494815  tps:802.568218  tpsNoError:802.568218 latency:508.215000
QPS:2000 time:1715300497646  tps:1786.352269  tpsNoError:1786.352269 latency:520.461800
QPS:2000 time:1715300500790  tps:1604.621309  tpsNoError:1604.621309 latency:506.140200
QPS:2000 time:1715300503691  tps:1742.160279  tpsNoError:1742.160279 latency:545.923200
QPS:2000 time:1715300506803  tps:1622.849724  tpsNoError:1622.849724 latency:467.122600
QPS:4000 time:1715300508571  tps:2871.912694  tpsNoError:2871.912694 latency:639.362400
QPS:4000 time:1715300510248  tps:3037.667072  tpsNoError:3037.667072 latency:628.855400
